"nome","resumo","coordenador"
"TÁTIL: UMA NOVA PROPOSTA PARA O ENSINO DE FÍSICA VOLTADA PARA ALUNOS COM DEFICIÊNCIA VISUAL.","Em breve este conteúdo estará disponível.","Mauricio Quelhas Antolin "
"NOVA CONFIGURAÇÃO VELHAS TENSÕES: QUALIDADE SOCIAL E EXCELÊNCIA NO CAP-UERJ","Em breve este conteúdo estará disponível.","Mônica Andréa Oliveira Almeida "
"POLÍTICAS DE ALFABETIZAÇÃO E CURRÍCULO NO CAP-UERJ: POSSIBILIDADES E EVIDÊNCIAS","Em breve este conteúdo estará disponível.","Nataly Da Costa Afonso "
"A LITERATURA AFRO-BRASILEIRA COMO INSTRUMENTO NA CONSTRUÇÃO DE UMA EDUCAÇÃO ANTIRRACISTA.","Em breve este conteúdo estará disponível.","Neuza Maria Sant Anna De Oliveira "
"INDÍGENAS E AFRICANOS NO RECÔNCAVO DO RIO DE JANEIRO: PATRIMÔNIO MEMÓRIAS E ENSINO DE HISTÓRIA","Em breve este conteúdo estará disponível.","Nielson Rosa Bezerra "
"CONFLITOS INDISCIPLINAS E VIOLÊNCIAS: A JUDICIALIZAÇÃO NAS ESCOLAS DE SÃO GONÇALO","Em breve este conteúdo estará disponível.","Pamela Suelli Da Motta Esteves "
"A DIDÁTICA NA AÇÃO FORMATIVA DA UNIVERSIDADE E ESCOLA","Em breve este conteúdo estará disponível.","Patricia Elaine Pereira Dos Santos "
"A FORMAÇÃO DE LEITORES E ESCRITORES: MODOS INDIVIDUAIS DE REPRESENTAÇÃO DA DOCÊNCIA","Em breve este conteúdo estará disponível.","Paula Da Silva Vidal Cid Lopes "
"BRASIL CULTURA NACIONALIDADE E IDENTIDADES E LEIS 10639 E 11645 - MONITORIA CLG IV A","Em breve este conteúdo estará disponível.","Pedro Alvim Leite Lopes "
"MONITORIA DE FÍSICA","Em breve este conteúdo estará disponível.","Pedro Henrique De Oliveira Lopes "
